id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;mortos;feridos_leves;feridos_graves;ilesos;ignorados;feridos;veiculos;latitude;longitude;regional;delegacia;uop;feriado
561762.0;2023-11-17;sexta-feira;04:35:00;SP;116.0;78,6;ROSEIRA;Entrada inopinada do pedestre;Atropelamento de Pedestre;Com Vítimas Feridas;Amanhecer;Crescente;Céu Claro;Dupla;Reta;Não;2;0;1;0;1;0;1;2;-22,8917481;-45,2913094;SPRF-SP;DEL08-SP;UOP01-DEL08-SP;false
561843.0;2023-11-17;sexta-feira;13:50:00;SP;116.0;202;ARUJA;Ausência de reação do condutor;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Decrescente;Sol;Múltipla;"Reta;Declive                  ";Não;2;0;1;0;0;1;1;2;-23,40809408;-46,33859597;SPRF-SP;DEL01-SP;UOP01-DEL01-SP;false
561954.0;2023-11-18;sábado;01:30:00;SP;116.0;162;JACAREI;Condutor Dormindo;Colisão traseira;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Dupla;Reta;Sim;4;0;1;1;2;0;2;2;-23,28133317;-45,98394689;SPRF-SP;DEL02-SP;UOP01-DEL02-SP;false
562057.0;2023-11-18;sábado;07:30:00;SP;116.0;459;PARIQUERA-ACU;Reação tardia ou ineficiente do condutor;Tombamento;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;"Reta;Aclive                   ";Não;1;0;1;0;0;0;1;1;-24,60387477;-47,8770803;SPRF-SP;DEL05-SP;UOP01-DEL05-SP;false
562073.0;2023-11-18;sábado;15:30:00;SP;116.0;91;PINDAMONHANGABA;Transtornos Mentais (exceto suicidio);Queda de ocupante de veículo;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Dupla;Reta;Não;2;0;0;1;1;0;1;1;-22,94792286;-45,39587407;SPRF-SP;DEL08-SP;UOP01-DEL08-SP;false
562078.0;2023-11-18;sábado;15:50:00;SP;116.0;155,1;SAO JOSE DOS CAMPOS;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;"Reta;Declive                  ";Não;2;0;1;0;1;0;1;2;-23,24524337;-45,92772774;SPRF-SP;DEL02-SP;UOP01-DEL02-SP;false
562146.0;2023-11-18;sábado;21:29:00;SP;116.0;146;SAO JOSE DOS CAMPOS;Ausência de reação do condutor;Colisão lateral mesmo sentido;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Múltipla;Reta;Sim;2;0;1;0;1;0;1;2;-23,19122919;-45,86327591;SPRF-SP;DEL02-SP;UOP01-DEL02-SP;false
562195.0;2023-11-19;domingo;05:30:00;SP;381.0;33;ATIBAIA;Ausência de reação do condutor;Colisão frontal;Sem Vítimas;Amanhecer;Crescente;Chuva;Dupla;Declive;Não;2;0;0;0;2;0;0;2;-23,0728028;-46,56673562;SPRF-SP;DEL03-SP;UOP02-DEL03-SP;false
562224.0;2023-11-16;quinta-feira;21:00:00;SP;116.0;301;SAO LOURENCO DA SERRA;Ausência de reação do condutor;Saída de leito carroçável;Sem Vítimas;Plena Noite;Crescente;Chuva;Dupla;Declive;Não;1;0;0;0;1;0;0;1;-23,81147602;-46,92298208;SPRF-SP;DEL04-SP;UOP01-DEL04-SP;false
562285.0;2023-11-19;domingo;14:30:00;SP;116.0;379;MIRACATU;Reação tardia ou ineficiente do condutor;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Decrescente;Chuva;Dupla;Reta;Não;5;0;1;0;4;0;1;2;-24,20982408;-47,37100817;SPRF-SP;DEL04-SP;UOP02-DEL04-SP;false
